Trade,Origin region,Destination region,Origin country,district,req ETD wk ,Cust. Code,Carrier (Std),Contract #,BR:1st Vessel,BR:1st Voyage #,Bkg Party # ,TMS #,Booking Status,Exception?,BR:PRE,BR:POL,BR:POD,BR:DEL,Move Type,BR:Req. ETD,BC:ETD POL,BR:Eqp.,BR:Eqp. Cnt,BC:Eqp.,BC:Eqp. Cnt,BC:Release Date,BC:Version,BR:Req. FEU,BC:Conf. FEU,BC: CY Cut-off Date,BC: CY Cut-off Time,BC: VGM Cut-off Date,BC: VGM Cut-off Time,BC: SI Cut-off Date,BC: SI Cut-off Time,BC:1st ETD POL,BC:1st ETA POD,BC:1st Release Date,BC:Released,BR:2nd Vessel,BR:2nd Voyage #,Consignee,Region,Bkg Type,Shipper Bkg Linked?,CRD,Date between BR creattion / ETD req,Check,x4,x5,x6,x7,x8,x9
AP > NA,AP,NA,VN,VN S.,1,TGT,OOLU,PE2506,COSCO NETHERLANDS,058E,2141300531,185390208,Canceled by requestor,N,VNTTH,VNTOT,USLGB,USWZC,CYP/D,,,40HCx1,1,,,,,1.125,,,,,,,,,,,No,,,Target,Vietnam,Direct,No,,,0,,,,,,
AP > EU,AP,EU,CN,CN E.,26,HMH,MAEU,90-0080,,,227992223,185208108,Confirmed,N,CNXMN,CNXMN,DEHAM,DEHAM,CYP/CYP,29-Jun,30-Jun,40HCx1,1,40HCx1,1,25-Jun,1,1.125,1.125,,,,,,,30-Jun,03-Aug,25-Jun,Yes,,,H&M Home,Xiamen,Bkg Agnt,Yes,,,0,,,,,,
AP > NA,AP,NA,CN,CN E.,26,TES,COSU,SSM25008,,,TBD,185229279,Canceled by requestor,N,CNXMN,CNXMN,USLAX,USLAX,CYP/CYP,29-Jun,,"40HCx2, 45HCx2",4,,,,,4.78,,,,,,,,,,,No,,,Tesla,Xiamen,Bkg Agnt,No,,,0,,,,,,
AP > NA,AP,NA,VN,VN S.,27,TGT,OOLU,PE2508,COSCO SPAIN,058E,2141471590,185157210,Confirmed,N,VNSGN,VNTOT,USLGB,USWZC,CYP/D,30-Jun,30-Jun,40HCx1,1,40HCx1,1,23-Jun,1,1.125,1.125,,,,,,,30-Jun,20-Jul,23-Jun,Yes,,,Target,Vietnam,Direct,Yes,,,0,,,,,,
AP > NA,AP,NA,VN,VN S.,27,TGT,OOLU,PE2506,COSCO SPAIN,058E,2141475110,185169739,Canceled by carrier,N,VNSGN,VNTOT,USLGB,USWZC,CYP/D,30-Jun,,40HCx4,4,,,,,4.5,,,,,,,,,,,Yes,,,Target,Vietnam,Direct,Yes,,,0,,,,,,
AP > EU,AP,EU,CN,CN E.,27,HMH,MAEU,90-0080,ELLY MAERSK,527W,229120444,185901640,Confirmed,N,CNSHA,CNSHA,NLRTM,NLRTM,CYP/CYP,01-Jul,01-Jul,40HCx2,2,40HCx2,2,20-Jun,1,2.25,2.25,28-Jun,21:00,28-Jun,14:30,27-Jun,16:30,01-Jul,15-Aug,20-Jun,No,,,H&M Home,Shanghai,Direct,No,24-Jun, 15.00 ,0,,,,,,
AP > EU,AP,EU,CN,CN E.,27,HMH,MAEU,90-0080,ELLY MAERSK,527W,229120447,185901641,Confirmed,N,CNSHA,CNSHA,NLRTM,NLRTM,CYP/CYP,01-Jul,01-Jul,40HCx1,1,40HCx1,1,20-Jun,1,1.125,1.125,28-Jun,21:00,28-Jun,14:30,27-Jun,16:30,01-Jul,15-Aug,20-Jun,No,,,H&M Home,Shanghai,Direct,No,21-Jun, 14.00 ,0,,,,,,
AP > EU,AP,EU,CN,CN E.,27,HMH,MAEU,90-0080,ELLY MAERSK,527W,229120413,185901642,Confirmed,N,CNSHA,CNSHA,NLRTM,NLRTM,CYP/CYP,01-Jul,01-Jul,40HCx1,1,40HCx1,1,20-Jun,1,1.125,1.125,28-Jun,21:00,28-Jun,14:30,27-Jun,16:30,01-Jul,15-Aug,20-Jun,No,,,H&M Home,Shanghai,Direct,No,25-Jun, 15.00 ,0,,,,,,
AP > EU,AP,EU,CN,CN E.,27,HMH,MAEU,90-0080,ELLY MAERSK,527W,229120450,185901646,Confirmed,N,CNSHA,CNSHA,NLRTM,NLRTM,CYP/CYP,01-Jul,01-Jul,40HCx1,1,40HCx1,1,20-Jun,1,1.125,1.125,28-Jun,21:00,28-Jun,14:30,27-Jun,16:30,01-Jul,15-Aug,20-Jun,No,,,H&M Home,Shanghai,Direct,No,23-Jun, 14.00 ,0,,,,,,
AP > EU,AP,EU,CN,CN E.,27,HMH,MAEU,90-0080,ELLY MAERSK,527W,229120426,185901647,Confirmed,N,CNSHA,CNSHA,NLRTM,NLRTM,CYP/CYP,01-Jul,01-Jul,40HCx1,1,40HCx1,1,20-Jun,1,1.125,1.125,28-Jun,21:00,28-Jun,14:30,27-Jun,16:30,01-Jul,15-Aug,20-Jun,No,,,H&M Home,Shanghai,Direct,No,24-Jun, 16.00 ,0,,,,,,
